,km_driven,fuel,seller_type,transmission,owner,seats,age,mileage_count,engine_volume,max_power_count,torque_1,rpm_min,rpm_max
942,2000,Diesel,Dealer,Automatic,First Owner,5.0,3,14.28,1984.0,150.0,350.0,1500.0,2750.0
943,9000,Diesel,Dealer,Automatic,First Owner,5.0,4,11.559999999999999,1999.0,177.0,430.0,1750.0,2500.0
944,20000,Petrol,Dealer,Automatic,First Owner,5.0,2,16.7775,2487.0,214.56,202.0,3600.0,5200.0
945,45000,Diesel,Dealer,Automatic,First Owner,5.0,4,16.4305,1999.0,177.0,430.0,1750.0,2500.0
946,110000,Diesel,Individual,Manual,First Owner,7.0,6,11.985,2179.0,147.94,320.0,1500.0,3000.0
948,68089,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,5,14.370000000000001,2494.0,157.7,213.0,4500.0,4500.0
949,38817,Diesel,Dealer,Manual,First Owner,5.0,3,23.2815,1248.0,74.0,190.0,2000.0,2000.0
950,56494,Petrol,Trustmark Dealer,Manual,First Owner,5.0,5,13.649999999999999,1199.0,88.7,110.0,4800.0,4800.0
951,5621,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,2,16.5,1197.0,81.8,113.0,4200.0,4200.0
952,25538,Petrol,Trustmark Dealer,Manual,First Owner,5.0,4,12.585,1496.0,88.73,132.0,3000.0,3000.0
953,69779,Petrol,Dealer,Automatic,First Owner,5.0,3,16.5,1197.0,81.8,113.0,4200.0,4200.0
954,56290,Diesel,Dealer,Manual,First Owner,5.0,4,20.4,1186.0,73.97,190.24,1750.0,2250.0
955,7500,Diesel,Dealer,Automatic,First Owner,5.0,2,14.263,1995.0,190.0,400.0,1750.0,2500.0
956,11000,Petrol,Dealer,Automatic,First Owner,5.0,5,10.725000000000001,1598.0,103.5,153.0,3800.0,3800.0
957,2000,Diesel,Dealer,Automatic,First Owner,5.0,3,14.28,1984.0,150.0,350.0,1500.0,2750.0
958,9000,Diesel,Dealer,Automatic,First Owner,5.0,4,11.559999999999999,1999.0,177.0,430.0,1750.0,2500.0
959,20000,Petrol,Dealer,Automatic,First Owner,5.0,2,16.7775,2487.0,214.56,202.0,3600.0,5200.0
960,45000,Diesel,Dealer,Automatic,First Owner,5.0,4,16.4305,1999.0,177.0,430.0,1750.0,2500.0
961,110000,Diesel,Individual,Manual,First Owner,7.0,6,11.985,2179.0,147.94,320.0,1500.0,3000.0
963,68089,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,5,14.370000000000001,2494.0,157.7,213.0,4500.0,4500.0
964,58343,Petrol,Trustmark Dealer,Manual,First Owner,5.0,8,16.3425,998.0,67.05,90.0,3500.0,3500.0
965,38817,Diesel,Dealer,Manual,First Owner,5.0,3,23.2815,1248.0,74.0,190.0,2000.0,2000.0
966,56494,Petrol,Trustmark Dealer,Manual,First Owner,5.0,5,13.649999999999999,1199.0,88.7,110.0,4800.0,4800.0
967,79328,Diesel,Trustmark Dealer,Manual,Second Owner,7.0,8,11.0415,2494.0,100.6,200.0,1200.0,3600.0
968,5621,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,2,16.5,1197.0,81.8,113.0,4200.0,4200.0
969,25538,Petrol,Trustmark Dealer,Manual,First Owner,5.0,4,12.585,1496.0,88.73,132.0,3000.0,3000.0
970,69779,Petrol,Dealer,Automatic,First Owner,5.0,3,16.5,1197.0,81.8,113.0,4200.0,4200.0
971,56290,Diesel,Dealer,Manual,First Owner,5.0,4,20.4,1186.0,73.97,190.24,1750.0,2250.0
972,7500,Diesel,Dealer,Automatic,First Owner,5.0,2,14.263,1995.0,190.0,400.0,1750.0,2500.0
973,8500,Diesel,Dealer,Automatic,First Owner,5.0,2,14.263,1995.0,190.0,400.0,1750.0,2500.0
974,7032,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,2,14.25,1199.0,88.76,110.0,4800.0,4800.0
975,11000,Petrol,Dealer,Automatic,First Owner,5.0,5,10.725000000000001,1598.0,103.5,153.0,3800.0,3800.0
976,20000,Petrol,Dealer,Automatic,First Owner,5.0,2,16.7775,2487.0,214.56,202.0,3600.0,5200.0
977,45000,Diesel,Dealer,Automatic,First Owner,5.0,4,16.4305,1999.0,177.0,430.0,1750.0,2500.0
979,68089,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,5,14.370000000000001,2494.0,157.7,213.0,4500.0,4500.0
980,38817,Diesel,Dealer,Manual,First Owner,5.0,3,23.2815,1248.0,74.0,190.0,2000.0,2000.0
981,56494,Petrol,Trustmark Dealer,Manual,First Owner,5.0,5,13.649999999999999,1199.0,88.7,110.0,4800.0,4800.0
982,79328,Diesel,Trustmark Dealer,Manual,Second Owner,7.0,8,11.0415,2494.0,100.6,200.0,1200.0,3600.0
983,5621,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,2,16.5,1197.0,81.8,113.0,4200.0,4200.0
984,25538,Petrol,Trustmark Dealer,Manual,First Owner,5.0,4,12.585,1496.0,88.73,132.0,3000.0,3000.0
985,69779,Petrol,Dealer,Automatic,First Owner,5.0,3,16.5,1197.0,81.8,113.0,4200.0,4200.0
986,7500,Diesel,Dealer,Automatic,First Owner,5.0,2,14.263,1995.0,190.0,400.0,1750.0,2500.0
987,8500,Diesel,Dealer,Automatic,First Owner,5.0,2,14.263,1995.0,190.0,400.0,1750.0,2500.0
988,7032,Petrol,Trustmark Dealer,Automatic,First Owner,5.0,2,14.25,1199.0,88.76,110.0,4800.0,4800.0
989,11000,Petrol,Dealer,Automatic,First Owner,5.0,5,10.725000000000001,1598.0,103.5,153.0,3800.0,3800.0
990,2000,Diesel,Dealer,Automatic,First Owner,5.0,3,14.28,1984.0,150.0,350.0,1500.0,2750.0
991,155000,Diesel,Individual,Manual,First Owner,5.0,4,21.25,1396.0,69.01,140.0,1800.0,3000.0
992,35000,Petrol,Individual,Automatic,First Owner,5.0,5,17.325000000000003,998.0,67.04,90.0,3500.0,3500.0
993,50000,Diesel,Individual,Manual,First Owner,5.0,3,20.4,1186.0,73.97,190.24,1750.0,2250.0
994,185000,Diesel,Individual,Manual,First Owner,7.0,11,12.58,2499.0,80.0,186.20000000000002,1800.0,1800.0
995,175000,Diesel,Individual,Manual,Second Owner,5.0,8,16.226499999999998,1396.0,69.0,135.0,2500.0,2500.0
996,11500,Petrol,Individual,Manual,First Owner,5.0,5,18.8775,799.0,53.3,72.0,4386.0,4386.0
997,3000,Diesel,Individual,Manual,First Owner,5.0,2,21.59,1186.0,73.97,190.25,1750.0,2250.0
998,80000,Diesel,Individual,Manual,Second Owner,5.0,6,18.785,1248.0,74.0,190.0,1750.0,1750.0
999,40000,Petrol,Individual,Manual,Second Owner,5.0,14,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
1000,40000,Petrol,Individual,Manual,Second Owner,5.0,14,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
1001,90000,Diesel,Individual,Manual,First Owner,5.0,6,19.72,1248.0,73.94,190.0,2000.0,2000.0
1002,25000,Diesel,Individual,Manual,First Owner,5.0,9,17.8755,1461.0,65.0,160.0,2000.0,2000.0
1003,50000,Diesel,Individual,Manual,Third Owner,8.0,10,10.2425,2179.0,120.0,290.0,1800.0,2800.0
1004,31800,Petrol,Individual,Manual,First Owner,5.0,3,13.950000000000001,1197.0,81.86,114.73,4000.0,4000.0
1005,65000,Petrol,Individual,Manual,First Owner,5.0,7,15.27,1197.0,78.9,111.8,4000.0,4000.0
1006,70000,Diesel,Individual,Manual,Second Owner,5.0,9,17.68,1461.0,65.0,160.0,2000.0,2000.0
1007,5000,Petrol,Individual,Manual,First Owner,5.0,4,13.620000000000001,1196.0,86.8,112.0,4000.0,4000.0
1008,50000,Petrol,Individual,Manual,Second Owner,5.0,4,15.825000000000001,814.0,55.2,74.5,4000.0,4000.0
1009,80000,Diesel,Individual,Manual,First Owner,5.0,10,14.62,1396.0,53.5,83.30000000000001,2500.0,2500.0
1010,70000,Diesel,Individual,Manual,Second Owner,9.0,7,11.543,2499.0,72.4,171.0,1800.0,1800.0
1011,40000,Diesel,Individual,Manual,First Owner,5.0,4,20.655,1248.0,88.5,200.0,1750.0,1750.0
1012,157000,Diesel,Individual,Manual,First Owner,7.0,8,13.566,2523.0,62.1,195.0,1400.0,2200.0
1013,80000,Petrol,Individual,Manual,Second Owner,5.0,10,14.857499999999998,1086.0,68.05,99.04,4500.0,4500.0
1017,70000,Diesel,Individual,Manual,Second Owner,5.0,9,17.8755,1461.0,65.0,160.0,2000.0,2000.0
1018,50000,Petrol,Individual,Manual,Second Owner,5.0,12,12.0,995.0,63.0,90.16,4200.0,4200.0
1019,60000,Diesel,Individual,Manual,First Owner,5.0,9,17.0,1399.0,68.0,160.0,2000.0,2000.0
1020,106000,Diesel,Individual,Manual,Second Owner,5.0,7,17.68,1461.0,65.0,160.0,2000.0,2000.0
1021,80000,Diesel,Individual,Manual,Second Owner,7.0,14,8.924999999999999,2179.0,120.0,290.0,1800.0,2800.0
1022,80000,Diesel,Individual,Manual,Second Owner,9.0,5,13.566,2523.0,63.0,180.0,1440.0,1500.0
1023,110000,Diesel,Individual,Manual,Second Owner,8.0,8,11.0415,2494.0,100.0,200.0,1400.0,3400.0
1024,120000,Diesel,Individual,Manual,Third Owner,7.0,10,11.559999999999999,2523.0,63.0,180.0,1440.0,1500.0
1025,70000,Petrol,Individual,Manual,Second Owner,5.0,11,14.174999999999999,1061.0,67.0,84.0,3500.0,3500.0
1026,60000,Diesel,Individual,Manual,First Owner,5.0,3,21.59,1186.0,73.97,190.25,1750.0,2250.0
1027,15000,Petrol,Individual,Manual,First Owner,5.0,4,16.5,1197.0,81.8,113.0,4200.0,4200.0
1029,135000,Diesel,Individual,Manual,First Owner,8.0,11,11.9,2498.0,112.0,260.0,1800.0,2200.0
1030,26300,Petrol,Individual,Manual,First Owner,5.0,3,17.88,1199.0,84.0,114.0,3500.0,3500.0
1031,120000,Diesel,Individual,Manual,First Owner,7.0,7,13.566,2523.0,62.1,195.0,1400.0,2200.0
1032,35000,Diesel,Individual,Manual,First Owner,5.0,4,24.139999999999997,1248.0,74.02,190.0,2000.0,2000.0
1033,30000,Petrol,Individual,Manual,First Owner,5.0,6,15.637500000000001,1197.0,83.14,115.0,4000.0,4000.0
1034,165000,Diesel,Individual,Manual,First Owner,7.0,9,13.566,2523.0,62.1,195.0,1400.0,2200.0
1035,50000,Petrol,Individual,Manual,First Owner,5.0,6,13.1775,1193.0,88.7,140.0,1500.0,4000.0
1036,100000,Diesel,Individual,Manual,Second Owner,5.0,11,17.0,1399.0,68.0,160.0,2000.0,2000.0
1038,120000,Petrol,Individual,Manual,Second Owner,5.0,14,11.25,1586.0,104.68,145.0,4100.0,4100.0
1039,70000,Petrol,Individual,Manual,Second Owner,7.0,4,13.125,1373.0,91.1,130.0,4000.0,4000.0
1041,72000,Petrol,Individual,Manual,First Owner,5.0,7,13.950000000000001,1197.0,81.83,114.7,4000.0,4000.0
1042,50000,Petrol,Individual,Manual,First Owner,5.0,4,17.2575,999.0,67.0,91.0,4250.0,4250.0
1044,30000,Petrol,Individual,Manual,First Owner,4.0,8,19.049999999999997,624.0,37.48,51.0,4000.0,500.0
1045,110000,Diesel,Individual,Manual,First Owner,5.0,6,22.2785,1248.0,88.5,200.0,1750.0,1750.0
1046,25000,Petrol,Individual,Manual,First Owner,5.0,4,18.8775,799.0,53.3,72.0,4386.0,4386.0
1047,120000,Diesel,Individual,Manual,First Owner,7.0,7,11.0415,2494.0,100.6,200.0,1400.0,3400.0
1048,40000,Petrol,Individual,Manual,First Owner,5.0,14,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
1049,10000,Petrol,Individual,Manual,First Owner,5.0,2,18.8775,799.0,53.3,72.0,4386.0,4386.0
1050,65000,Petrol,Individual,Manual,First Owner,5.0,11,14.174999999999999,1061.0,67.0,84.0,3500.0,3500.0
1051,10000,CNG,Individual,Manual,First Owner,5.0,2,21.94,1196.0,61.7,85.0,3000.0,3000.0
1052,110000,Petrol,Individual,Manual,Second Owner,5.0,9,10.4025,1390.0,75.0,110.0,3000.0,3000.0
1053,120000,Diesel,Individual,Manual,Second Owner,7.0,13,11.559999999999999,2523.0,63.0,180.0,1440.0,1500.0
1054,72000,Petrol,Individual,Manual,First Owner,5.0,6,11.5275,1196.0,73.0,101.0,3000.0,3000.0
1055,89100,Diesel,Individual,Manual,Second Owner,5.0,7,19.72,1248.0,73.94,190.0,2000.0,2000.0
1056,94000,Petrol,Individual,Manual,Second Owner,5.0,14,13.049999999999999,1599.0,104.0,148.0,3500.0,3500.0
1057,120000,Petrol,Individual,Manual,Second Owner,5.0,6,15.825000000000001,814.0,55.2,74.5,4000.0,4000.0
1058,110000,Petrol,Individual,Manual,First Owner,5.0,9,12.149999999999999,995.0,62.1,90.3,4200.0,4200.0
1059,50000,Diesel,Individual,Manual,First Owner,5.0,3,23.8765,1248.0,88.5,200.0,1750.0,1750.0
1060,90000,Diesel,Individual,Manual,Third Owner,5.0,14,14.28,1405.0,62.0,122.50000000000001,2500.0,2500.0
1061,23000,Petrol,Individual,Manual,First Owner,5.0,7,13.649999999999999,1199.0,82.4,108.5,5000.0,5000.0
1062,50000,Petrol,Individual,Manual,First Owner,5.0,8,12.600000000000001,796.0,34.2,59.0,2500.0,2500.0
1063,140000,CNG,Individual,Manual,First Owner,5.0,4,21.94,1196.0,61.7,85.0,3000.0,3000.0
1064,16000,Petrol,Individual,Automatic,First Owner,5.0,2,13.049999999999999,1197.0,81.86,117.0,4000.0,4000.0
1065,15000,Petrol,Individual,Manual,First Owner,5.0,2,15.105,1197.0,81.86,113.75,4000.0,4000.0
1066,200000,Petrol,Individual,Manual,First Owner,5.0,11,13.125,1197.0,85.8,114.0,4000.0,4000.0
1067,120000,Petrol,Individual,Manual,First Owner,5.0,12,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
1068,120000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,14,11.475000000000001,1341.0,83.0,115.0,3200.0,3200.0
1069,38000,Petrol,Individual,Manual,First Owner,5.0,5,11.5275,1196.0,73.0,101.0,3000.0,3000.0
1070,104000,Petrol,Individual,Manual,First Owner,5.0,11,11.25,1368.0,90.0,116.0,4750.0,4750.0
1071,120000,Petrol,Individual,Manual,First Owner,7.0,4,11.55,1497.0,117.3,145.0,4600.0,4600.0
1072,35000,Diesel,Individual,Automatic,First Owner,5.0,3,20.655,1248.0,88.5,200.0,1750.0,1750.0
1073,210000,Diesel,Individual,Manual,First Owner,5.0,10,19.465,1248.0,74.0,190.0,2000.0,2000.0
1074,85000,Diesel,Individual,Manual,Third Owner,5.0,12,17.935000000000002,1248.0,73.9,113.0,4500.0,4500.0
1075,80000,Petrol,Individual,Manual,First Owner,5.0,9,14.174999999999999,998.0,67.1,90.0,3500.0,3500.0
1076,50000,Diesel,Individual,Automatic,First Owner,5.0,9,12.613999999999999,2143.0,170.0,400.0,1400.0,2800.0
1077,216000,Diesel,Individual,Manual,First Owner,8.0,11,10.88,2494.0,102.0,199.92,1400.0,3400.0
1078,84000,Diesel,Individual,Manual,First Owner,5.0,6,23.8765,1248.0,88.5,200.0,1750.0,1750.0
1079,210000,Diesel,Individual,Manual,First Owner,7.0,9,11.0415,2494.0,100.0,200.0,1400.0,3400.0
1080,100000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,14,11.475000000000001,1341.0,83.0,115.0,3200.0,3200.0
1081,78000,Petrol,Individual,Manual,Second Owner,5.0,14,12.075000000000001,1298.0,88.2,112.7,4500.0,4500.0
1082,161000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,14,9.75,1493.0,100.0,128.38,4600.0,4600.0
1083,70000,Petrol,Individual,Manual,Third Owner,5.0,14,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
1084,65000,Diesel,Individual,Manual,First Owner,8.0,4,16.983,1461.0,108.5,245.0,1750.0,1750.0
1085,50000,Petrol,Individual,Manual,First Owner,5.0,6,18.8775,799.0,53.3,72.0,4386.0,4386.0
1086,25000,Petrol,Individual,Manual,First Owner,5.0,2,15.39,1197.0,81.8,113.0,4200.0,4200.0
1087,100000,Diesel,Individual,Manual,First Owner,9.0,8,13.566,2523.0,62.1,195.0,1440.0,2200.0
1088,6000,Petrol,Individual,Manual,First Owner,5.0,3,13.950000000000001,1197.0,81.83,114.7,4000.0,4000.0
1089,72113,Diesel,Individual,Manual,First Owner,7.0,5,18.615,1498.0,98.6,200.0,1750.0,1750.0
1090,40000,Diesel,Individual,Manual,First Owner,5.0,9,20.0345,1396.0,70.0,140.0,1800.0,3000.0
1091,8000,Petrol,Individual,Manual,First Owner,5.0,4,13.950000000000001,1197.0,81.83,114.7,4000.0,4000.0
1092,20000,Petrol,Individual,Manual,First Owner,5.0,11,15.825000000000001,1197.0,85.8,114.0,4000.0,4000.0
1093,80000,Diesel,Individual,Manual,First Owner,5.0,7,19.889999999999997,1248.0,74.0,190.0,2000.0,2000.0
1094,90000,Diesel,Individual,Manual,First Owner,5.0,7,21.419999999999998,1248.0,74.0,190.0,2000.0,2000.0
1095,25000,Diesel,Individual,Manual,First Owner,5.0,3,21.335,1248.0,88.5,200.0,1750.0,1750.0
1096,100000,Diesel,Individual,Manual,Second Owner,5.0,11,15.98,1248.0,90.0,200.0,1750.0,3000.0
1097,60000,Petrol,Individual,Manual,Second Owner,5.0,14,12.450000000000001,1388.0,68.0,159.74,2000.0,2000.0
1098,30000,Diesel,Individual,Manual,First Owner,5.0,3,18.0115,1396.0,88.76,219.66,1500.0,2750.0
1099,120000,Diesel,Individual,Manual,Third Owner,7.0,14,8.924999999999999,2609.0,120.0,290.0,1800.0,2800.0
1100,80000,Diesel,Individual,Manual,Second Owner,7.0,10,11.840499999999999,2179.0,138.03,320.0,1700.0,2700.0
1101,75000,Petrol,Individual,Manual,First Owner,5.0,11,13.950000000000001,1199.0,79.4,108.0,4400.0,4400.0
1102,90000,Diesel,Individual,Manual,Second Owner,5.0,7,20.74,1120.0,71.01,180.4,1750.0,2500.0
1103,100000,Diesel,Individual,Manual,Third Owner,5.0,9,19.618,1461.0,63.12,160.0,2000.0,2000.0
1104,110000,Diesel,Individual,Manual,First Owner,5.0,9,18.955000000000002,1248.0,74.0,190.0,1750.0,3000.0
1105,90000,Diesel,Individual,Manual,First Owner,5.0,6,19.354499999999998,1498.0,98.59,205.0,1750.0,3250.0
1106,100000,Diesel,Individual,Manual,Second Owner,5.0,10,17.0,1399.0,68.0,160.0,2000.0,2000.0
1107,50000,Diesel,Individual,Manual,First Owner,5.0,4,21.59,1186.0,73.97,190.25,1750.0,2250.0
1108,200000,Diesel,Individual,Manual,First Owner,5.0,10,17.425,1248.0,91.7,209.0,2000.0,2000.0
1109,146000,Diesel,Individual,Automatic,Second Owner,7.0,7,11.058499999999999,2199.0,194.3,436.39,1800.0,2500.0
1110,80000,Petrol,Individual,Manual,Second Owner,5.0,12,9.675,1598.0,102.5,148.0,4000.0,4000.0
1111,96443,Diesel,Individual,Manual,Second Owner,7.0,11,9.8345,2179.0,138.1,320.0,1700.0,2700.0
1112,100000,Petrol,Individual,Automatic,Second Owner,5.0,12,8.774999999999999,2354.0,177.6,222.0,4300.0,4300.0
1113,10000,Petrol,Individual,Automatic,First Owner,5.0,2,15.9075,1197.0,81.8,113.0,4200.0,4200.0
1114,100000,Diesel,Individual,Manual,First Owner,5.0,7,19.889999999999997,1248.0,74.0,190.0,2000.0,2000.0
1115,91000,Diesel,Individual,Manual,First Owner,5.0,7,19.159,1396.0,88.73,219.7,1500.0,2750.0
1116,100000,Petrol,Individual,Manual,First Owner,5.0,12,15.27,1197.0,78.9,111.8,4000.0,4000.0
1117,120000,Diesel,Individual,Manual,Second Owner,5.0,8,19.889999999999997,1248.0,74.0,190.0,2000.0,2000.0
1118,90000,Petrol,Individual,Manual,Second Owner,5.0,10,12.75,1497.0,118.0,146.0,4800.0,4800.0
1119,60000,Petrol,Individual,Manual,Second Owner,5.0,5,17.055,796.0,47.3,69.0,3500.0,3500.0
1120,51500,Petrol,Individual,Manual,First Owner,5.0,5,18.8775,799.0,53.3,72.0,4386.0,4386.0
1121,60000,Diesel,Individual,Manual,Second Owner,5.0,5,18.785,1248.0,74.0,190.0,1750.0,1750.0
1122,104500,Diesel,Individual,Manual,Second Owner,5.0,9,17.0,1399.0,68.0,160.0,2000.0,2000.0
1123,30000,Diesel,Individual,Manual,First Owner,5.0,3,19.55,1498.0,98.96,205.0,1750.0,3250.0
1124,120000,Diesel,Individual,Manual,Third Owner,5.0,9,16.1585,1461.0,108.45,248.0,2250.0,2250.0
1125,100000,Diesel,Individual,Manual,Second Owner,5.0,7,19.465,1248.0,74.0,190.0,2000.0,2000.0
1126,90000,Petrol,Individual,Manual,Third Owner,5.0,13,10.125,1799.0,130.0,172.0,4300.0,4300.0
1127,150000,Petrol,Individual,Manual,Third Owner,5.0,14,14.174999999999999,998.0,67.1,90.0,3500.0,3500.0
1128,60000,Petrol,Individual,Automatic,First Owner,5.0,14,14.174999999999999,998.0,67.1,90.0,3500.0,3500.0
1129,50000,Petrol,Individual,Manual,Second Owner,5.0,6,13.0725,1396.0,105.5,135.3,5000.0,5000.0
1130,10000,Diesel,Individual,Manual,First Owner,5.0,2,20.4,1186.0,73.97,190.24,1750.0,2250.0
1131,120000,Diesel,Individual,Manual,Third Owner,7.0,6,13.09,1997.0,120.0,280.0,1800.0,2800.0
1132,40000,Petrol,Individual,Manual,First Owner,5.0,4,13.950000000000001,1197.0,81.83,114.7,4000.0,4000.0
1134,50000,Petrol,Individual,Manual,First Owner,5.0,7,17.055,796.0,47.3,69.0,3500.0,3500.0
1135,90000,Diesel,Individual,Manual,First Owner,5.0,7,17.3825,1461.0,83.8,200.0,1900.0,1900.0
1136,10000,Petrol,Individual,Manual,First Owner,5.0,2,15.9075,1197.0,81.8,113.0,4200.0,4200.0
1137,10000,Diesel,Individual,Manual,First Owner,8.0,3,19.974999999999998,909.0,45.0,98.0,1600.0,3000.0
1138,27000,Petrol,Individual,Manual,First Owner,5.0,2,17.9625,998.0,67.05,90.0,3500.0,3500.0
1139,70000,Diesel,Individual,Manual,First Owner,5.0,5,22.601499999999998,1248.0,74.0,190.0,2000.0,2000.0
1140,50000,Petrol,Individual,Manual,First Owner,5.0,4,12.600000000000001,796.0,34.2,59.0,2500.0,2500.0
1142,110000,Diesel,Individual,Manual,First Owner,5.0,7,20.4,1120.0,70.0,160.0,1500.0,2750.0
1143,100000,Diesel,Individual,Manual,Second Owner,5.0,6,23.477,793.0,47.0,125.0,2000.0,2000.0
1144,50000,Diesel,Individual,Manual,First Owner,7.0,3,14.705,1497.0,121.0,300.0,1750.0,2500.0
1145,105000,Diesel,Individual,Manual,Second Owner,5.0,12,15.13,1248.0,75.0,190.0,2000.0,2000.0
1146,110000,Diesel,Individual,Manual,First Owner,8.0,8,11.0415,2494.0,100.6,200.0,1200.0,3600.0
1147,60000,Diesel,Individual,Manual,Second Owner,7.0,7,12.834999999999999,2179.0,140.0,330.0,1600.0,2800.0
1148,60000,Petrol,Individual,Manual,Third Owner,5.0,11,13.440000000000001,1086.0,62.1,96.1,3000.0,3000.0
1150,90000,Diesel,Individual,Manual,First Owner,5.0,9,21.624,936.0,57.6,150.0,1750.0,1750.0
1151,33033,Petrol,Dealer,Manual,First Owner,5.0,7,14.549999999999999,1198.0,86.8,109.0,4500.0,4500.0
1152,63063,Petrol,Dealer,Automatic,First Owner,5.0,6,14.174999999999999,1197.0,82.0,114.0,4000.0,4000.0
1153,81000,Diesel,Individual,Manual,Second Owner,5.0,8,16.1585,1461.0,108.45,248.0,2250.0,2250.0
1154,80000,Diesel,Individual,Manual,First Owner,5.0,3,21.59,1186.0,73.97,190.25,1750.0,2250.0
1155,105000,Diesel,Individual,Manual,Second Owner,5.0,9,16.1585,1461.0,108.45,248.0,2250.0,2250.0
1157,227000,Petrol,Individual,Manual,First Owner,7.0,4,13.125,1373.0,91.1,130.0,4000.0,4000.0
1158,100000,Diesel,Individual,Manual,Second Owner,5.0,9,16.1585,1461.0,108.45,248.0,2250.0,2250.0
1159,60000,CNG,Individual,Manual,First Owner,5.0,2,21.94,1196.0,61.7,85.0,3000.0,3000.0
1160,70000,Diesel,Individual,Manual,Third Owner,5.0,8,18.615,1396.0,88.76,219.6,1500.0,2750.0
1161,120000,Diesel,Individual,Manual,Third Owner,5.0,10,17.459,1598.0,103.6,250.0,1500.0,2500.0
1162,80000,Petrol,Individual,Manual,Third Owner,5.0,12,14.774999999999999,796.0,46.3,62.0,3000.0,3000.0
1163,120000,Diesel,Individual,Manual,Fourth & Above Owner,7.0,13,9.8345,2179.0,138.1,320.0,1700.0,2700.0
1164,40000,Petrol,Individual,Manual,First Owner,5.0,7,13.440000000000001,1086.0,62.1,96.1,3000.0,3000.0
1165,53000,Petrol,Individual,Manual,First Owner,5.0,7,15.27,1197.0,78.9,111.7,4000.0,4000.0
1166,60000,Diesel,Individual,Manual,First Owner,5.0,4,21.419999999999998,1248.0,74.0,190.0,2000.0,2000.0
1167,30000,Petrol,Individual,Manual,First Owner,5.0,4,13.950000000000001,1197.0,81.83,114.7,4000.0,4000.0
1168,100000,Diesel,Individual,Manual,Third Owner,5.0,8,17.459,1598.0,103.6,250.0,1500.0,2500.0
1169,70000,Diesel,Individual,Manual,First Owner,7.0,3,11.628,2393.0,147.8,343.0,1400.0,2800.0
1170,98000,Diesel,Individual,Manual,Fourth & Above Owner,7.0,9,17.6545,1248.0,88.8,200.0,1750.0,1750.0
1171,60000,Petrol,Individual,Manual,First Owner,5.0,7,15.825000000000001,814.0,55.2,74.5,4000.0,4000.0
1172,80000,Petrol,Individual,Manual,Third Owner,5.0,11,15.27,1197.0,78.9,111.8,4000.0,4000.0
1173,117000,Diesel,Dealer,Automatic,First Owner,7.0,8,9.503,2696.0,184.0,402.0,1600.0,3000.0
1174,19723,Petrol,Dealer,Automatic,First Owner,5.0,4,15.225000000000001,1199.0,84.0,114.0,3500.0,3500.0
1175,21446,Petrol,Dealer,Manual,First Owner,5.0,5,12.600000000000001,1497.0,116.3,146.0,4800.0,4800.0
1176,52289,Diesel,Dealer,Manual,First Owner,5.0,4,21.335,1248.0,88.5,200.0,1750.0,1750.0
1177,54470,Diesel,Dealer,Manual,First Owner,7.0,4,13.09,2179.0,120.0,280.0,1800.0,2800.0
1178,25471,Diesel,Dealer,Manual,First Owner,5.0,4,18.615,1396.0,90.0,219.52,1750.0,2750.0
1179,33928,Petrol,Dealer,Manual,First Owner,5.0,2,17.88,1199.0,84.48,113.0,3300.0,3300.0
1180,54290,Petrol,Dealer,Manual,First Owner,5.0,12,12.75,1497.0,118.0,146.0,4800.0,4800.0
1181,2118,Petrol,Dealer,Manual,First Owner,5.0,5,14.549999999999999,1198.0,86.8,109.0,4500.0,4500.0
1182,61379,Diesel,Dealer,Manual,First Owner,7.0,4,13.09,2179.0,120.0,280.0,1800.0,2800.0
1183,58544,Petrol,Dealer,Manual,Second Owner,5.0,11,13.049999999999999,1497.0,117.3,145.0,4600.0,4600.0
1184,74381,Petrol,Dealer,Manual,First Owner,5.0,5,16.3425,998.0,67.05,90.0,3500.0,3500.0
1185,35000,Petrol,Individual,Manual,Third Owner,4.0,14,12.075000000000001,796.0,37.0,59.0,2500.0,2500.0
1186,65000,Petrol,Dealer,Manual,Second Owner,5.0,13,14.174999999999999,998.0,67.1,90.0,3500.0,3500.0
1187,74000,Diesel,Dealer,Manual,First Owner,7.0,7,13.566,2523.0,62.1,195.0,1400.0,2200.0
1188,56000,Petrol,Individual,Manual,First Owner,5.0,9,15.27,1197.0,78.9,111.7,4000.0,4000.0
1189,19500,Petrol,Dealer,Manual,First Owner,5.0,2,15.225000000000001,1086.0,68.07,99.07,4500.0,4500.0
